iter	Logloss
0	0.6350198868
1	0.5862553835
2	0.5422190985
3	0.5069223173
4	0.4813391434
5	0.4590595575
6	0.4384461027
7	0.4217376636
8	0.4070678264
9	0.3917244304
10	0.3790931638
11	0.3594381942
12	0.34870134
13	0.3397005756
14	0.3326880782
15	0.3244945712
16	0.3170996607
17	0.3038732818
18	0.2939279464
19	0.286670875
20	0.2794743033
21	0.2749160677
22	0.2685319289
23	0.2647678458
24	0.2561807818
25	0.2485992863
26	0.2425077553
27	0.2373779799
28	0.232483316
29	0.2268928545
30	0.2190784771
31	0.2155734855
32	0.2101844964
33	0.2039301635
34	0.1996031755
35	0.1924228057
36	0.1886473063
37	0.1848684499
38	0.1795386193
39	0.1738913185
40	0.1714300902
41	0.1686650595
42	0.1644584287
43	0.1622423474
44	0.1583443054
45	0.1552458386
46	0.1526851451
47	0.1489979189
48	0.1468472013
49	0.1441207056
50	0.141783354
51	0.1385706697
52	0.1367604446
53	0.1349757702
54	0.1335374106
55	0.1318806052
56	0.1302961371
57	0.1289618719
58	0.1259504707
59	0.124677711
60	0.1227849344
61	0.1217381742
62	0.1200851788
63	0.1177782292
64	0.1157365488
65	0.1140579707
66	0.1132246944
67	0.1107328156
68	0.110121556
69	0.1076567882
70	0.1063351515
71	0.1055996077
72	0.1042239096
73	0.1034149875
74	0.1021511417
75	0.1007293257
76	0.09793748806
77	0.09728257657
78	0.0958316758
79	0.09539247513
80	0.09490278444
81	0.09427157974
82	0.09301785155
83	0.09203174919
84	0.09040355693
85	0.08951766561
86	0.08877765927
87	0.08768584202
88	0.0872129861
89	0.08573028766
90	0.08496824481
91	0.08447270699
92	0.08381615518
93	0.08341405091
94	0.0827533915
95	0.08176765149
96	0.08154644097
97	0.08060250284
98	0.0798733296
99	0.07938078885
100	0.07881702883
101	0.07866530552
102	0.07842997522
103	0.07766390709
104	0.07724950112
105	0.07676703712
106	0.07656598518
107	0.07633677605
108	0.07609585005
109	0.07456901431
110	0.07408724343
111	0.07386342192
112	0.0736848296
113	0.07348842636
114	0.07328887895
115	0.07273332607
116	0.07190318454
117	0.07165328671
118	0.07141383922
119	0.07122864665
120	0.07093132039
121	0.07042861654
122	0.07022332462
123	0.07003888596
124	0.06972769346
125	0.06953000831
126	0.06925624034
127	0.06907371604
128	0.06864751738
129	0.06852735841
130	0.06840395651
131	0.06824729621
132	0.06813519884
133	0.06797185441
134	0.06750454515
135	0.06721327494
136	0.06710640316
137	0.06693518996
138	0.06637286337
139	0.06624061381
140	0.06574578495
141	0.06561726593
142	0.06548360243
143	0.06479817198
144	0.06466880207
145	0.06422820913
146	0.06378285015
147	0.06367099277
148	0.06352586627
149	0.06341238679
150	0.06323973129
151	0.06313871311
152	0.06303173793
153	0.06271367413
154	0.06249956952
155	0.06231160094
156	0.06177977489
157	0.06126499573
158	0.06029935365
159	0.0601516199
160	0.05997599993
161	0.05983027931
162	0.05971848544
163	0.05950033009
164	0.05923330721
165	0.05898523369
166	0.05890982407
167	0.0587252518
168	0.05846655379
169	0.05821040532
170	0.0579852575
171	0.05777403883
172	0.05765560327
173	0.05757266449
174	0.05739128399
175	0.05714710674
176	0.05632715447
177	0.05612951752
178	0.05592449995
179	0.0552674569
180	0.05514503704
181	0.05503876092
182	0.0549821454
183	0.05488949074
184	0.05479496072
185	0.05449008686
186	0.05440738764
187	0.05422614015
188	0.05416220819
189	0.0539735214
190	0.05374890967
191	0.05370853364
192	0.0535881546
193	0.05326649872
194	0.05297226706
195	0.05290457312
196	0.05271392845
197	0.05257036676
198	0.05248522959
199	0.05224108849
200	0.05201839466
201	0.05191550094
202	0.05184297963
203	0.05174765324
204	0.05166393153
205	0.05157294011
206	0.05146969697
207	0.05130666148
208	0.05113795199
209	0.05105698865
210	0.05084490946
211	0.05074731732
212	0.05068226573
213	0.05060132237
214	0.05014538039
215	0.04995404435
216	0.04990781823
217	0.04982344057
218	0.04969498364
219	0.04962770459
220	0.04943215569
221	0.04939086277
222	0.04930676224
223	0.04922398093
224	0.04898825616
225	0.04877056806
226	0.04869109929
227	0.04854678982
228	0.04850116158
229	0.04842445495
230	0.0483758127
231	0.0482861567
232	0.04821421339
233	0.04810776953
234	0.04806536897
235	0.04800444932
236	0.04783218984
237	0.04775619728
238	0.04755536932
239	0.04742426016
240	0.04738068304
241	0.04729507105
242	0.04704062276
243	0.0470058778
244	0.04692725043
245	0.04672968452
246	0.04654076291
247	0.04650325733
248	0.0464123977
249	0.04636967209
250	0.04622278477
251	0.04617971618
252	0.0460202771
253	0.04593039696
254	0.04586847104
255	0.04579143664
256	0.04572652928
257	0.04546647487
258	0.04540091553
259	0.0453414773
260	0.04531524346
261	0.04527103013
262	0.04514780461
263	0.04511610296
264	0.04507766285
265	0.04504972203
266	0.04499624675
267	0.04492763288
268	0.04488817898
269	0.04482829839
270	0.04480582083
271	0.04473163076
272	0.04468401616
273	0.0445533463
274	0.04442079107
275	0.04438769588
276	0.04433422227
277	0.0442852707
278	0.04425892954
279	0.04420141368
280	0.04413951673
281	0.04401983165
282	0.04396029357
283	0.04390402027
284	0.04386741816
285	0.04374584665
286	0.04368372948
287	0.04362953723
288	0.04357387406
289	0.04350055689
290	0.04346784529
291	0.04343308146
292	0.04330655615
293	0.04327067411
294	0.04320255499
295	0.04316074161
296	0.04310055765
297	0.04298013639
298	0.04290273565
299	0.04285146661
