Threshold,Precision,Recall,F1
0.05,0.27421109902067464,0.7477744807121661,0.4012738853503185
0.060000000000000005,0.30973451327433627,0.7270029673590505,0.43439716312056736
0.07,0.3393854748603352,0.7210682492581603,0.46153846153846156
0.08000000000000002,0.36515151515151517,0.7151335311572701,0.4834503510531595
0.09000000000000001,0.38636363636363635,0.7062314540059347,0.4994753410283316
0.1,0.40657439446366783,0.6973293768545994,0.5136612021857924
0.11000000000000001,0.4251824817518248,0.6913946587537092,0.5265536723163842
0.12000000000000002,0.44573643410852715,0.6824925816023739,0.5392731535756154
0.13,0.463265306122449,0.6735905044510386,0.5489721886336155
0.14,0.47468354430379744,0.6676557863501483,0.5548705302096177
0.15000000000000002,0.4891304347826087,0.6676557863501483,0.5646173149309912
0.16000000000000003,0.5,0.6617210682492581,0.5696040868454662
0.17000000000000004,0.5199063231850117,0.658753709198813,0.581151832460733
0.18000000000000002,0.533816425120773,0.655786350148368,0.5885486018641811
0.19000000000000003,0.543424317617866,0.6498516320474778,0.5918918918918918
0.20000000000000004,0.5447570332480819,0.6320474777448071,0.5851648351648352
0.21000000000000002,0.5514511873350924,0.6201780415430267,0.5837988826815642
0.22000000000000003,0.5686813186813187,0.6142433234421365,0.5905848787446505
0.23000000000000004,0.5767045454545454,0.6023738872403561,0.5892597968069666
0.24000000000000005,0.5838150289017341,0.599406528189911,0.5915080527086384
0.25000000000000006,0.5940298507462687,0.5905044510385756,0.5922619047619048
0.26000000000000006,0.600609756097561,0.5845697329376854,0.5924812030075188
0.27,0.6125,0.5816023738872403,0.5966514459665144
0.28,0.6190476190476191,0.5786350148367952,0.598159509202454
0.29000000000000004,0.627831715210356,0.5756676557863502,0.6006191950464397
0.30000000000000004,0.6390728476821192,0.5727002967359051,0.6040688575899843
0.31000000000000005,0.6428571428571429,0.5608308605341247,0.5990491283676703
0.32000000000000006,0.6428571428571429,0.5608308605341247,0.5990491283676703
0.33000000000000007,0.6426116838487973,0.5548961424332344,0.5955414012738853
0.3400000000000001,0.6526315789473685,0.5519287833827893,0.5980707395498392
0.3500000000000001,0.6583629893238434,0.5489614243323442,0.598705501618123
